steps,loss,lr,ADE,FDE
50,1.4319017684459687,0.0002,4.278554081916809,6.511240358352661
100,1.056034313738346,0.0002,3.266261638402939,4.979135990142822
150,0.8808308980862299,0.0002,2.7863828198115033,4.295133130550385
200,0.7649893020093441,0.0002,2.4720567166805267,3.831695122718811
250,0.6965123525857926,0.0002,2.283101674556732,3.567296757698059
300,0.642165426214536,0.0002,2.132842587629954,3.341070065895716
350,0.5968826669454574,0.0002,2.0084114953449794,3.1514793978418623
400,0.5664908087253571,0.0002,1.9216221883893012,3.013462001979351
450,0.5370424167315165,0.0002,1.8370614031950632,2.8761876561906603
500,0.5101482210159302,0.0002,1.7609793142080308,2.7513663210868837
550,0.4895562411167405,0.0002,1.7034067744558508,2.658899193243547
600,0.4704479587326447,0.0002,1.6488055063287417,2.5705715080102283
650,0.45321482754670656,0.0002,1.6003121978503008,2.493512927568876
700,0.4384308314749173,0.0002,1.5579693056855883,2.425122444629669
750,0.42614186815420785,0.0002,1.5225772508780162,2.368146063089371
800,0.4140863029845059,0.0002,1.488250423297286,2.312284745126963
850,0.40286098411854576,0.0002,1.4564234626994415,2.2619486853655646
900,0.39313038842545617,0.0002,1.4289093465937508,2.219128221935696
950,0.383499115956457,0.0002,1.401609858211718,2.1762984371185303
1000,0.37550046734511855,0.0002,1.3784138013720513,2.1395321478843687
1050,0.36833918438071295,0.0002,1.3577815620104472,2.106017586560476
1100,0.3610638758811084,0.0002,1.336596517075192,2.0722274165803736
1150,0.35402922722308533,0.0002,1.3161665189266205,2.039903205529503
1200,0.34709078116963304,0.0002,1.2956314448018869,2.0054689990977446
1250,0.3401460492372513,0.0002,1.2755904447078705,1.9713115798473357
1300,0.3341154169692443,0.0002,1.2579059354158548,1.9425877114901176
1350,0.3284982312498269,0.0002,1.2411396188647659,1.915307070325922
1400,0.322768431758242,0.0002,1.2243187041367802,1.8879257672599383
1450,0.31735469950684186,0.0002,1.2083490972683348,1.8613784064917729
1500,0.312805530110995,0.0002,1.1949857377211253,1.8406173197031022
1550,0.3082420788465008,0.0002,1.1811117963252529,1.8177975752661306
1600,0.3038350265612826,0.0002,1.1680818723887205,1.7967675158381462
1650,0.29936730550545637,0.0002,1.154769835580479,1.7746351637623528
1700,0.29530826008056893,0.0002,1.1427392038878272,1.7547423996644862
1750,0.29124183088966776,0.0002,1.1304335898671831,1.7344011865002769
1800,0.2870452589251929,0.0002,1.1180477103922102,1.7148063215613365
1850,0.2831124192516546,0.0002,1.1064110644765803,1.6957121391231949
1900,0.2794011505144207,0.0002,1.0953729716100191,1.677743161916733
1950,0.2758456303446721,0.0002,1.0848108355815593,1.660211803821417
2000,0.2720877447910607,0.0002,1.0737683656215669,1.6415435217916965
2050,0.26866918725211447,0.0002,1.063455156931063,1.624454985798859
2100,0.26546823097126826,0.0002,1.0539565006324223,1.6087562597365606
2150,0.2622077557305957,0.0002,1.0441054048787717,1.5921050817467446
2200,0.2599138204245405,0.0002,1.0368380680002949,1.5805547560615973
2250,0.2571786474055714,0.0002,1.0284599565267563,1.5665769100983937
2300,0.2544532124536193,0.0002,1.0199405355427575,1.551805629004603
2350,0.251866323751338,0.0002,1.011908664081959,1.538061073485841
2400,0.2495558336035659,0.0002,1.0047824900473157,1.5259480031828085
2450,0.24711243722815904,0.0002,0.9972056687729699,1.513225319580156
2500,0.24504833901524545,0.0002,0.9909426680207253,1.5035342698812484
2550,0.24300008358908634,0.0002,0.9844582048233818,1.4927658620301414
2600,0.24083440235601022,0.0002,0.9779226152369609,1.4816788421227383
2650,0.2385677600806614,0.0002,0.9709816789064767,1.4700595543069659
2700,0.23654042625592814,0.0002,0.9648021937189278,1.4598650917079714
2750,0.2345320939882235,0.0002,0.9585286688587882,1.4495910341306166
2800,0.23243754509570344,0.0002,0.952017647208912,1.4388944579235146
2850,0.23047642176872807,0.0002,0.9459638783910819,1.4283861378410407
2900,0.22862544790167233,0.0002,0.9401345215172603,1.4186120065121814
2950,0.2267974495938269,0.0002,0.9342411366963791,1.408690214793561
3000,0.22495190917203825,0.0002,0.9286273896793524,1.3992585099538168
3050,0.20298669117689133,0.0002,0.8670630179047585,1.304450891852379
3100,0.193621994048357,0.0002,0.8395769780874253,1.2612226880788804
3150,0.1866633120055,0.0002,0.81892937079072,1.225858077923457
3200,0.18158725752681493,0.0002,0.803313487559557,1.1989727338155112
3250,0.17629238371178507,0.0002,0.786973227918148,1.1695144782662392
3300,0.17193528178955117,0.0002,0.7733507981002331,1.1453844814995924
3350,0.16828087803348898,0.0002,0.7616371452907721,1.1247714175979295
3400,0.16420367901151378,0.0002,0.749222455650568,1.1039883761803309
3450,0.16095605685189365,0.0002,0.7393925254543622,1.0872148605187735
3500,0.1581641271300614,0.0002,0.7306128100951512,1.0726240291198095
3550,0.15513755114997427,0.0002,0.7208160596688589,1.0563039320508638
