episodes,timesteps,collision,success,success_rate
1,131,False,True,0.016666666666666666
2,176,True,False,0.016666666666666666
3,393,False,True,0.03333333333333333
4,411,True,False,0.03333333333333333
5,457,True,False,0.03333333333333333
7,566,False,True,0.05
8,725,False,True,0.06666666666666667
10,833,False,True,0.08333333333333333
11,995,False,True,0.1
12,1215,False,True,0.11666666666666667
13,1267,True,False,0.11666666666666667
14,1333,True,False,0.11666666666666667
15,1552,False,True,0.13333333333333333
16,1606,True,False,0.13333333333333333
17,1667,True,False,0.13333333333333333
18,1887,False,True,0.15
19,2003,False,True,0.16666666666666666
20,2166,False,True,0.18333333333333332
22,2273,False,True,0.2
23,2331,True,False,0.2
24,2537,False,True,0.21666666666666667
25,2555,True,False,0.21666666666666667
26,2656,True,False,0.21666666666666667
27,2695,True,False,0.21666666666666667
28,2780,True,False,0.21666666666666667
29,2918,False,True,0.23333333333333334
30,2957,True,False,0.23333333333333334
31,3061,False,True,0.25
32,3106,True,False,0.25
33,3140,True,False,0.25
34,3320,False,True,0.26666666666666666
35,3459,False,True,0.2833333333333333
36,3619,True,False,0.2833333333333333
37,3658,True,False,0.2833333333333333
38,3718,True,False,0.2833333333333333
39,3819,True,False,0.2833333333333333
40,3837,True,False,0.2833333333333333
41,4014,False,True,0.3
42,4031,True,False,0.3
43,4207,False,True,0.31666666666666665
44,4277,True,False,0.31666666666666665
45,4292,True,False,0.31666666666666665
46,4310,True,False,0.31666666666666665
47,4455,False,True,0.3333333333333333
48,4650,False,True,0.35
49,4668,True,False,0.35
50,4713,True,False,0.35
51,4755,True,False,0.35
52,4907,False,True,0.36666666666666664
53,4954,True,False,0.36666666666666664
54,5163,False,True,0.38333333333333336
55,5182,True,False,0.38333333333333336
56,5320,False,True,0.4
57,5360,True,False,0.4
58,5372,True,False,0.4
59,5417,True,False,0.4
60,5563,True,False,0.4
61,5581,True,False,0.4
62,5626,True,False,0.4
63,5666,True,False,0.4
64,5684,True,False,0.38333333333333336
65,5764,True,False,0.38333333333333336
