steps,loss,lr,ADE,FDE
50,1.6459725511074066,0.0002,5.094125351905823,7.872939424514771
100,1.2544162690639495,0.0002,3.9790891718864443,6.077910072803498
150,1.0719074130058288,0.0002,3.4494682916005455,5.267657817204793
200,0.9449471701681614,0.0002,3.087390657067299,4.739191232919693
250,0.8710782412290573,0.0002,2.8688464193344116,4.437155988693237
300,0.8044780230522156,0.0002,2.675268846750259,4.149139931599299
350,0.7514372581243515,0.0002,2.5224308623586382,3.922894228867122
400,0.711794409044087,0.0002,2.4053569880127905,3.751416167020798
450,0.6741274755862025,0.0002,2.294031460550096,3.572688525252872
500,0.6426786968708038,0.0002,2.202184284210205,3.4255331976413728
550,0.6154871853915128,0.0002,2.1206755540587685,3.2971970974315297
600,0.5933275000502666,0.0002,2.053209981719653,3.193326823512713
650,0.5737703127815174,0.0002,1.9945889241878803,3.103495141359476
700,0.5566985814060483,0.0002,1.941699602859361,3.0211645017351425
750,0.5407291547854741,0.0002,1.8929269402821858,2.9465817662874856
800,0.5276646959595382,0.0002,1.8533265282958746,2.8869026125967503
850,0.5140537055450327,0.0002,1.8127712014843436,2.8272948007022634
900,0.5007924652430746,0.0002,1.7726615793175167,2.765466043286853
950,0.48842955893591833,0.0002,1.735511473417282,2.707973649376317
1000,0.4775083031207323,0.0002,1.7021803982257844,2.655049285650253
1050,0.46720512456837154,0.0002,1.6705935019538516,2.603491550343377
1100,0.45751301555470986,0.0002,1.641075362238017,2.5568219858407972
1150,0.44826786007570185,0.0002,1.6133960601557855,2.5129728375828786
1200,0.4391449967895945,0.0002,1.5858767319718996,2.4680233101546762
1250,0.4301085372686386,0.0002,1.5590089201450348,2.425114384508133
1300,0.42196743567402545,0.0002,1.534951513317915,2.3863588776496742
1350,0.41489102607523953,0.0002,1.5128006482124328,2.350710680573075
1400,0.4072910742887429,0.0002,1.4902061734454972,2.314746318970408
1450,0.4006419959356045,0.0002,1.4698323068947627,2.282015502123997
1500,0.3942331669131915,0.0002,1.4508077056805293,2.25137980401516
1550,0.3881300164326545,0.0002,1.4323327529814935,2.221144864328446
1600,0.38249577602371576,0.0002,1.4152780220285057,2.1942865616083145
1650,0.3769364732232961,0.0002,1.3982480618086728,2.166686978195653
1700,0.3714365996595691,0.0002,1.3815962006064022,2.1389925750564127
1750,0.3662565566131047,0.0002,1.3661171060970851,2.113776240008218
1800,0.3610232720689641,0.0002,1.3503252358237903,2.0882293882966043
1850,0.35564199788344875,0.0002,1.3343457593144596,2.0621376991271974
1900,0.3506634906404897,0.0002,1.3190929895953127,2.036610677524617
1950,0.34577929193392776,0.0002,1.304491958862696,2.012695001730552
2000,0.34112837037816646,0.0002,1.2905029576718807,1.9892238157987594
2050,0.33664821432494535,0.0002,1.2769914935565576,1.9670943062479902
2100,0.3324191643546025,0.0002,1.2643050928626742,1.9463044060128076
2150,0.32833762078091155,0.0002,1.2522034843855125,1.9255860322852467
2200,0.3248432748324492,0.0002,1.241385671171275,1.9074394508654422
2250,0.3217387230760521,0.0002,1.231542649904887,1.8910853402614594
2300,0.31831137188750763,0.0002,1.2207981951858686,1.872461748978366
2350,0.31485221533699237,0.0002,1.2102028134528626,1.8543163649325676
2400,0.31159498658652107,0.0002,1.2001033733040094,1.837936170871059
2450,0.3084100131386397,0.0002,1.1902048720388996,1.8213029151303428
2500,0.3052339076787233,0.0002,1.180614703965187,1.8049754103183746
2550,0.30205630835949204,0.0002,1.1707895116245046,1.788066595956391
2600,0.29894229283986185,0.0002,1.161213204746063,1.7725379625192055
2650,0.2962775929525213,0.0002,1.1527607055655065,1.7582020542756567
2700,0.2936743085058751,0.0002,1.1447651865084967,1.7449378034582845
2750,0.29116651686755096,0.0002,1.1368058963688936,1.7317137387015602
2800,0.28855710657047373,0.0002,1.1287550283968448,1.7186280270346574
2850,0.2862970049992988,0.0002,1.1216177543422632,1.7066100911717665
2900,0.28390660609921503,0.0002,1.1141960702271296,1.694107619400682
2950,0.28158379918943016,0.0002,1.1070569745362815,1.6824058469877405
3000,0.2794415139630437,0.0002,1.1001854978203773,1.6707678807973863
3050,0.2544655273904403,0.0002,1.0268488610784212,1.5562293952107429
3100,0.24266929114361604,0.0002,0.9910062662959099,1.50156850006183
3150,0.23338433552036683,0.0002,0.9626312007705371,1.4568405608932178
3200,0.22645554377883673,0.0002,0.9408698717753092,1.4206582320332528
3250,0.2191830866858363,0.0002,0.9185874277949333,1.382231814523538
3300,0.21360967768232028,0.0002,0.9011183489660421,1.3528128073811532
3350,0.20864412813882033,0.0002,0.8852137519021829,1.3255508217215537
3400,0.20359587505211432,0.0002,0.8695540667076905,1.298418619732062
3450,0.19970472920686005,0.0002,0.8572260860105355,1.2788789235552152
3500,0.19598653474450112,0.0002,0.8452330071032047,1.2589321485757827
3550,0.19246754210193953,0.0002,0.8341845487256845,1.2404306456645329
3600,0.18876157790919146,0.0002,0.8229137664437294,1.221351556122303
3650,0.1852038255482912,0.0002,0.8118589011232058,1.2023731320500375
3700,0.18177840282519658,0.0002,0.8015030628641446,1.1846235776344936
3750,0.17854020668069523,0.0002,0.7915840539932251,1.16757141772906
3800,0.17509052561223507,0.0002,0.780964827020963,1.149042702138424
3850,0.17231371258944272,0.0002,0.7720787292321523,1.132781253039837
3900,0.16999051722387473,0.0002,0.7648604237834613,1.1199463156263034
3950,0.16780896763751904,0.0002,0.7578075218399366,1.107500772277514
